employee_id,day,time_slot,available
E1,Monday,1,1
E1,Monday,2,1
E1,Monday,3,1
E1,Monday,4,0
E1,Monday,5,1
E1,Monday,6,1
E1,Monday,7,1
E1,Monday,8,1
E1,Tuesday,1,1
E1,Tuesday,2,1
E1,Tuesday,3,1
E1,Tuesday,4,1
E1,Tuesday,5,1
E1,Tuesday,6,1
E1,Tuesday,7,1
E1,Tuesday,8,1
E1,Wednesday,1,1
E1,Wednesday,2,1
E1,Wednesday,3,1
E1,Wednesday,4,1
E1,Wednesday,5,1
E1,Wednesday,6,1
E1,Wednesday,7,1
E1,Wednesday,8,1
E1,Thursday,1,1
E1,Thursday,2,1
E1,Thursday,3,1
E1,Thursday,4,1
E1,Thursday,5,1
E1,Thursday,6,1
E1,Thursday,7,1
E1,Thursday,8,1
E1,Friday,1,1
E1,Friday,2,1
E1,Friday,3,1
E1,Friday,4,1
E1,Friday,5,1
E1,Friday,6,1
E1,Friday,7,1
E1,Friday,8,1
E1,Saturday,1,1
E1,Saturday,2,1
E1,Saturday,3,1
E1,Saturday,4,1
E1,Saturday,5,1
E1,Saturday,6,1
E1,Saturday,7,1
E1,Saturday,8,1
E1,Sunday,1,1
E1,Sunday,2,1
E1,Sunday,3,1
E1,Sunday,4,1
E1,Sunday,5,1
E1,Sunday,6,1
E1,Sunday,7,1
E1,Sunday,8,1
E2,Monday,1,1
E2,Monday,2,1
E2,Monday,3,0
E2,Monday,4,1
E2,Monday,5,1
E2,Monday,6,1
E2,Monday,7,1
E2,Monday,8,1
E2,Tuesday,1,1
E2,Tuesday,2,1
E2,Tuesday,3,1
E2,Tuesday,4,1
E2,Tuesday,5,1
E2,Tuesday,6,1
E2,Tuesday,7,1
E2,Tuesday,8,1
E2,Wednesday,1,1
E2,Wednesday,2,1
E2,Wednesday,3,1
E2,Wednesday,4,1
E2,Wednesday,5,1
E2,Wednesday,6,1
E2,Wednesday,7,1
E2,Wednesday,8,1
E2,Thursday,1,1
E2,Thursday,2,1
E2,Thursday,3,1
E2,Thursday,4,1
E2,Thursday,5,1
E2,Thursday,6,1
E2,Thursday,7,1
E2,Thursday,8,1
E2,Friday,1,1
E2,Friday,2,1
E2,Friday,3,1
E2,Friday,4,1
E2,Friday,5,1
E2,Friday,6,1
E2,Friday,7,1
E2,Friday,8,1
E2,Saturday,1,1
E2,Saturday,2,1
E2,Saturday,3,1
E2,Saturday,4,1
E2,Saturday,5,1
E2,Saturday,6,1
E2,Saturday,7,1
E2,Saturday,8,1
E2,Sunday,1,1
E2,Sunday,2,1
E2,Sunday,3,1
E2,Sunday,4,1
E2,Sunday,5,1
E2,Sunday,6,1
E2,Sunday,7,1
E2,Sunday,8,1
E3,Monday,1,1
E3,Monday,2,1
E3,Monday,3,1
E3,Monday,4,1
E3,Monday,5,1
E3,Monday,6,1
E3,Monday,7,1
E3,Monday,8,1
E3,Tuesday,1,1
E3,Tuesday,2,1
E3,Tuesday,3,1
E3,Tuesday,4,1
E3,Tuesday,5,1
