day,time_slot,activity_id,required_workers
Monday,1,A1,2
Monday,2,A1,2
Monday,3,A1,2
Monday,3,A2,1
Monday,4,A1,2
Monday,4,A2,1
Monday,5,A2,1
Monday,6,A2,1
Monday,7,A3,1
Monday,8,A3,1
Tuesday,1,A1,2
Tuesday,2,A1,2
Tuesday,3,A1,2
Tuesday,3,A2,1
Tuesday,4,A1,2
Tuesday,4,A2,1
Tuesday,5,A2,1
Tuesday,6,A2,1
Tuesday,7,A3,1
Tuesday,8,A3,1
Wednesday,1,A1,2
Wednesday,2,A1,2
Wednesday,3,A1,2
Wednesday,3,A2,1
Wednesday,4,A1,2
Wednesday,4,A2,1
Wednesday,5,A2,1
Wednesday,6,A2,1
Wednesday,7,A3,1
Wednesday,8,A3,1
Thursday,1,A1,2
Thursday,2,A1,2
Thursday,3,A1,2
Thursday,3,A2,1
Thursday,4,A1,2
Thursday,4,A2,1
Thursday,5,A2,1
Thursday,6,A2,1
Thursday,7,A3,1
Thursday,8,A3,1
Friday,1,A1,2
Friday,2,A1,2
Friday,3,A1,2
Friday,3,A2,1
Friday,4,A1,2
Friday,4,A2,1
Friday,5,A2,1
Friday,6,A2,1
Friday,7,A3,1
Friday,8,A3,1
Saturday,1,A1,2
Saturday,2,A1,2
Saturday,3,A1,2
Saturday,3,A2,1
Saturday,4,A1,2
Saturday,4,A2,1
Saturday,5,A2,1
Saturday,6,A2,1
Saturday,7,A3,1
Saturday,8,A3,1
Sunday,1,A1,2
Sunday,2,A1,2
Sunday,3,A1,2
Sunday,3,A2,1
Sunday,4,A1,2
Sunday,4,A2,1
Sunday,5,A2,1
Sunday,6,A2,1
Sunday,7,A3,1
Sunday,8,A3,1
